0,1,2,3,4
0,0,1,7,53
1,1,2,5,46
2,2,3,5,55
3,3,4,5,75
4,4,5,5,42
5,5,6,5,75
6,6,7,4,36
7,7,8,4,22
8,8,9,4,53
9,9,10,3,27
10,10,11,2,21
11,11,12,2,60
12,12,13,2,62
13,13,14,3,15
14,14,15,3,52
15,15,16,4,38
16,16,17,4,48
17,17,18,5,59
18,18,19,4,20
19,19,20,5,44
20,20,21,5,45
21,21,22,5,66
22,22,23,5,81
23,23,24,6,40
24,1,25,2,51
25,25,26,2,39
26,25,27,2,71
27,27,28,2,60
28,27,29,2,67
29,2,30,2,100
30,3,31,3,12
31,31,32,3,60
32,32,33,2,40
33,33,34,1,56
34,33,35,2,30
35,32,36,3,58
36,36,37,2,22
37,36,38,2,28
38,31,39,3,85
39,39,40,2,40
40,40,41,1,37
41,40,42,2,58
42,39,43,2,61
43,43,47,2,76
44,43,44,2,56
45,44,45,2,32
46,44,46,2,30
47,4,48,3,65
48,5,49,3,125
49,49,53,2,80
50,49,50,1,39
51,50,51,1,20
52,50,52,1,26
53,6,54,3,18
54,54,55,2,115
55,54,56,2,74
56,7,57,3,54
57,57,58,2,52
58,57,59,2,70
59,59,60,1,35
60,59,61,2,55
61,8,62,2,36
62,62,63,1,10
63,62,64,2,13
64,9,65,4,118
65,65,66,2,45
66,65,67,2,102
67,9,68,3,100
68,68,69,2,50
69,68,70,1,74
70,10,71,1,23
71,11,72,2,38
72,13,73,2,158
73,14,74,2,170
74,74,75,2,16
75,74,76,2,28
76,15,77,2,18
77,77,78,2,52
78,77,79,2,20
79,16,80,3,130
80,80,81,2,125
81,80,82,2,63
82,17,83,3,43
83,83,89,2,78
84,83,84,2,80
85,84,85,2,73
86,84,86,2,20
87,86,88,1,18
88,86,87,2,31
89,18,90,2,90
90,19,91,3,65
91,91,92,3,80
92,92,93,2,27
93,92,94,2,25
94,91,95,3,42
95,95,96,2,52
96,95,97,2,32
97,20,98,3,59
98,98,99,2,47
99,98,100,3,40
100,100,101,1,16
101,100,102,2,66
102,102,103,2,52
103,102,104,2,32
104,21,105,3,63
105,105,106,2,157
106,105,107,2,115
107,22,108,2,67
108,108,109,2,67
109,109,110,2,36
110,109,111,2,16
111,108,112,2,25
112,112,113,2,47
113,112,114,2,38
114,112,115,2,44
115,23,116,2,50
116,116,120,1,50
117,116,117,2,66
118,117,118,1,36
119,117,119,1,48
