0,1,2,3
26,141,594,1
28,45,609,1
29,47,591,1
30,134,546,1
34,77,541,1
35,86,506,1
37,87,468,1
38,83,440,1
41,72,409,1
42,57,381,1
45,40,363,1
46,38,334,1
47,85,308,1
48,229,355,1
51,68,290,1
52,73,273,1
53,79,245,1
55,109,248,1
56,150,254,1
58,152,193,1
60,86,199,1
61,86,158,1
63,235,208,1
64,247,211,1
66,76,110,1
67,47,46,1
69,103,93,1
70,95,71,1
71,198,159,1
72,194,143,1
73,453,43,1
75,465,31,1
76,477,25,1
78,267,160,1
79,301,176,1
81,471,43,1
82,447,107,1
85,399,167,1
87,422,201,1
88,421,220,1
89,417,270,1
90,295,275,1
93,432,264,1
94,444,287,1
96,440,303,1
97,427,321,1
99,389,388,1
101,382,358,1
103,459,311,1
104,453,329,1
106,489,348,1
107,459,396,1
110,440,434,1
111,429,473,1
113,424,480,1
114,427,499,1
115,415,526,1
118,448,581,1
119,454,612,1
120,399,597,1
