0,1,2,3,4
0,0,1,5,37
1,1,2,5,13
2,2,3,8,26
3,3,4,9,25
4,4,5,9,15
5,5,6,10,39
6,6,7,10,9
7,7,8,7,33
8,8,9,7,53
9,9,10,6,25
10,10,11,6,45
11,11,12,7,62
12,12,13,8,22
13,13,14,9,6
14,14,15,9,12
15,15,16,7,36
16,16,17,7,30
17,17,18,7,35
18,18,19,7,45
19,19,20,5,31
20,1,21,2,58
21,1,22,2,135
22,2,23,1,48
23,3,24,3,60
24,24,25,1,43
25,24,26,2,78
26,26,27,2,15
27,26,28,2,43
28,4,29,3,26
29,5,30,2,40
30,30,31,1,32
31,30,32,1,41
32,6,33,1,48
33,7,34,2,43
34,34,38,2,19
35,38,42,2,45
36,38,39,2,22
37,39,40,2,48
38,39,41,2,62
39,34,35,2,80
40,35,37,2,9
41,35,36,1,12
42,8,43,7,29
43,43,44,3,27
44,44,50,2,23
45,44,45,3,39
46,45,46,2,23
47,45,47,3,20
48,47,48,1,13
49,47,49,2,38
50,44,51,2,53
51,51,52,2,15
52,51,53,2,9
53,53,54,1,13
54,53,55,1,90
55,43,56,3,146
56,56,57,2,55
57,57,58,1,17
58,57,59,1,13
59,59,61,1,10
60,59,60,1,20
61,56,62,2,57
62,9,63,2,168
63,10,64,6,14
64,64,65,2,47
65,64,66,8,8
66,66,68,2,44
67,66,67,2,32
68,66,69,6,21
69,69,70,3,62
70,70,71,3,30
71,70,76,2,25
72,71,75,2,38
73,71,72,3,37
74,72,74,2,15
75,72,73,2,120
76,69,77,5,20
77,77,78,2,158
78,77,79,5,12
79,79,80,2,98
80,79,81,5,29
81,81,82,3,34
82,82,83,1,30
83,82,84,2,28
84,84,86,2,36
85,84,85,2,53
86,86,88,2,55
87,86,87,2,60
88,81,89,5,8
89,89,90,2,57
90,89,91,5,40
91,91,92,2,89
92,92,93,2,100
93,92,94,2,41
94,235,96,1,16
95,235,95,2,26
96,94,97,2,24
97,97,98,2,18
98,98,100,2,16
99,98,99,2,19
100,97,101,3,17
101,91,102,4,52
102,102,103,3,68
103,103,104,3,50
104,104,105,1,118
105,104,106,2,64
106,106,107,2,15
107,107,108,2,18
108,107,109,2,45
109,106,110,2,100
110,103,111,3,40
111,111,112,1,18
112,111,113,3,57
113,113,114,2,65
114,113,115,3,39
115,102,116,3,27
116,116,128,2,31
117,128,130,2,17
118,128,129,1,27
119,116,117,3,58
120,117,118,3,150
121,118,119,2,54
122,118,120,2,27
123,117,121,3,18
124,121,122,2,32
125,122,123,2,12
126,122,124,2,30
127,121,125,3,52
128,125,126,2,32
129,125,127,2,60
130,11,131,5,60
131,131,132,2,42
132,131,133,4,30
133,133,134,3,75
134,133,135,3,48
135,135,137,2,67
136,135,136,3,100
137,12,138,7,60
138,138,139,5,23
139,139,140,2,150
140,139,141,4,56
141,141,147,2,35
142,141,142,3,33
143,142,144,2,40
144,144,145,2,37
145,144,146,2,45
146,142,143,2,108
147,138,148,7,31
148,148,152,7,12
149,152,153,1,36
150,148,149,2,70
151,149,150,1,26
152,149,151,2,58
153,152,154,5,15
154,154,155,3,52
155,155,157,2,28
156,155,156,5,21
157,154,158,2,60
158,154,159,6,45
159,159,178,6,12
160,178,179,3,30
161,179,180,1,17
162,179,181,2,32
163,159,160,6,27
164,160,170,4,34
165,170,171,2,92
166,170,172,4,50
167,172,173,2,30
168,172,174,2,37
169,174,175,2,60
170,174,176,2,75
171,174,177,3,25
172,178,182,5,35
173,182,183,4,24
174,183,184,3,37
175,183,185,2,10
176,185,186,2,39
177,185,187,2,52
178,182,188,5,56
179,188,189,5,32
180,188,196,2,74
181,189,195,2,57
182,189,190,4,26
183,190,194,2,42
184,190,191,4,25
185,191,192,3,127
186,191,193,2,23
187,160,161,5,50
188,161,169,2,29
189,161,162,3,9
190,162,163,3,8
191,163,168,2,40
192,163,164,2,23
193,164,165,1,19
194,164,166,1,8
195,163,167,2,57
196,13,197,2,103
197,14,198,3,64
198,198,199,1,60
199,198,200,3,23
200,200,204,2,58
201,200,201,3,25
202,201,202,1,25
203,201,203,2,80
204,15,205,2,103
205,16,206,3,10
206,206,207,3,95
207,207,209,2,35
208,207,208,1,19
209,206,210,3,29
210,210,211,2,25
211,210,212,3,32
212,212,213,2,40
213,212,214,2,29
214,17,215,4,60
215,215,216,3,14
216,216,221,2,33
217,216,217,2,48
218,217,218,2,38
219,217,219,1,13
220,217,220,2,23
221,215,222,2,45
222,222,223,2,34
223,222,224,1,12
224,18,225,3,61
225,225,226,1,26
226,225,227,2,77
227,227,228,2,20
228,227,229,1,25
229,19,230,2,25
230,230,231,1,20
231,230,232,1,34
232,101,233,2,8
233,101,234,2,7
234,94,235,2,5
