0,1,2,3
21,149,601,3
22,89,585,3
23,159,576,3
25,105,569,3
27,70,602,3
28,38,602,3
29,222,559,3
31,241,477,3
32,261,475,3
33,151,539,3
36,80,519,3
37,83,507,3
40,74,539,3
41,61,560,3
42,103,569,3
46,107,505,3
48,91,471,3
49,90,446,3
50,116,452,3
52,87,441,3
54,80,428,3
55,52,372,3
58,35,357,3
60,29,338,3
61,55,343,3
62,62,328,3
63,114,379,3
65,179,394,3
67,187,389,3
68,245,389,3
73,50,320,3
74,100,344,3
75,105,368,3
76,130,387,3
78,225,270,3
80,130,335,3
83,149,322,3
85,129,270,3
87,91,263,3
88,87,313,3
90,169,280,3
93,85,175,3
95,97,220,3
96,99,232,3
99,77,244,3
100,80,236,3
233,85,227,3
234,92,226,3
105,192,251,3
108,84,152,3
109,79,120,3
110,61,75,3
112,118,155,3
114,55,60,3
115,82,73,3
119,41,35,3
120,59,37,3
123,195,120,3
124,170,112,3
126,120,83,3
127,98,65,3
129,233,154,3
130,237,167,3
132,225,320,3
134,283,265,3
136,225,194,3
137,259,214,3
140,277,377,3
143,438,270,3
145,472,326,3
146,483,356,3
147,391,350,3
150,394,323,3
151,421,330,3
153,289,349,3
156,370,317,3
157,362,297,3
158,319,265,3
165,427,248,3
166,432,261,3
167,428,222,3
168,432,268,3
169,389,250,3
171,382,185,3
173,427,214,3
175,413,139,3
176,431,127,3
177,428,186,3
180,343,232,3
181,348,239,3
184,290,192,3
186,305,160,3
187,327,154,3
192,480,24,3
193,401,98,3
194,412,120,3
195,365,139,3
196,352,144,3
197,343,412,3
199,379,408,3
202,427,413,3
203,471,379,3
204,447,410,3
205,359,493,3
208,420,430,3
209,440,424,3
211,392,494,3
213,429,475,3
214,429,494,3
218,425,489,3
219,428,517,3
220,433,531,3
221,417,538,3
223,445,573,3
224,427,575,3
226,363,549,3
228,452,607,3
229,451,616,3
231,352,604,3
232,355,586,3
